,phrases,total,count_ https://lasergolfrangefinder.com/,count_ https://www.amazon.com/Golf-Range-Finders/b?ie=UTF8&node=3411111
47,"('golf', 'rangefinder')",42,0,1
1792,"('golf', 'rangefinder', 'golf')",13,1,1
266,"('best', 'golf', 'rangefinder')",12,0,1
502,"('rangefinder', 'golf', 'rangefinder')",11,1,1
41,"('best', 'golf')",11,0,1
155,"('price', 'reviews')",10,0,1
1794,"('golf', 'rangefinder', 'rangefinder')",9,1,0
254,"('golf', 'golf', 'rangefinder')",9,0,1
1163,"('golf', 'rangefinders')",9,0,1
143,"('slope', 'technology')",8,0,1
165,"('range', 'yards')",7,1,0
479,"('make', 'easy')",7,0,1
1044,"('range', 'yards', 'magnification')",7,1,0
117,"('range', 'finders')",6,1,0
115,"('golf', 'range')",6,2,1
63,"('laser', 'rangefinder')",6,1,0
1668,"('golf', 'rangefinder', 'reviews')",6,1,0
55,"('bushnell', 'tour')",6,1,1
213,"('target', 'priority')",6,1,0
519,"('tournament', 'legal')",5,1,0
976,"('rating', 'price', 'reviews')",5,1,1
964,"('approvededitor', 'rating', 'price')",5,1,1
966,"('approvededitor', 'rating', 'reviews')",5,1,0
211,"('first', 'target')",5,4,1
449,"('many', 'golfers')",5,0,1
79,"('rangefinder', 'best')",5,2,1
227,"('slope', 'switch')",5,0,1
970,"('approvededitor', 'price', 'reviews')",5,1,1
1765,"('nikon', 'coolshot')",5,1,1
245,"('rangefinder', 'reviews')",5,0,1
1796,"('golf', 'rangefinder', 'help')",5,0,1
175,"('pinseeker', 'jolt')",5,6,1
487,"('amazon', 'price')",5,1,1
1595,"('slope', 'compensation')",5,0,1
489,"('reviews', 'picsfeatures')",5,1,0
153,"('rating', 'price')",5,1,0
1392,"('first', 'target', 'priority')",5,1,0
263,"('rangefinder', 'golf')",5,0,1
151,"('approvededitor', 'rating')",5,1,1
1054,"('yards', 'flagx', 'magnification')",4,1,1
1714,"('shouldn', 'golf', 'rangefinder')",4,1,1
278,"('golf', 'rangefinder', 'rating')",4,0,1
61,"('golf', 'laser')",4,11,1
167,"('yards', 'yards')",4,0,1
1491,"('stable', 'grip')",4,1,0
264,"('golf', 'rangefinder', 'slope')",4,1,0
141,"('adaptive', 'slope')",4,1,0
1251,"('device', 'also')",4,1,0
1207,"('fast', 'focus')",4,1,1
